,BEM1,BEM2,SVR-KNN,RF-DVS,S-XGB,LQR,OptimARIMA,Avg,Med,Min,Max,AdaMSM,DQS,BMA,DMA,LOP,AFTER,DQS_Mk2
2008-03-01,1.194740196770816,1.245657590812321,1.045776827309545,1.556403007906715,1.444493889808655,1.196104912239469,1.06118232929756,1.2491941077350115,1.196104912239469,1.045776827309545,1.556403007906715,1.2491941077350115,1.196104912239469,1.2491941077350115,1.2491941077350115,1.2491941077350115,1.2491941077350115,1.2491941077350115
2008-06-01,0.6486895095971335,0.6955696179277382,1.391040079270763,0.8204932366371327,1.367214679718018,1.411326984450711,2.428745733757222,1.2518685487655312,1.367214679718018,0.6486895095971335,2.428745733757222,1.2518685487655312,1.4109397832775281,1.2518685487655312,1.2518685487655312,1.2518685487655312,1.2518685487655312,2.428745733757222
2008-09-01,1.139183569380187,0.9327408748859511,1.027311861272725,1.025484584299602,1.319488883018494,0.2042816842990526,2.142859678874492,1.1130501622900721,1.027311861272725,0.2042816842990526,2.142859678874492,1.1130501622900721,1.027311861272725,1.1130501622900721,1.1130501622900721,1.1130501622900721,1.1130501622900721,1.1130501622900721
2008-12-01,1.001532386059978,1.40106161205491,0.3866863485591656,0.705416308607796,1.28472101688385,-4.579140499096741,-1.881478401213853,-0.24017160402069915,0.705416308607796,-4.579140499096741,1.40106161205491,-0.24017160402069915,-4.579140499096741,-0.24017160402069915,-0.24017160402069915,-0.24017160402069915,-0.24017160402069915,-4.579140499096741
2009-03-01,0.8136756687848745,3.515060850423879,0.1344624375556656,0.364238146962025,0.1596516221761703,-0.3512051970878667,0.4606513720409842,0.7280764144079618,0.364238146962025,-0.3512051970878667,3.515060850423879,0.1344624375556656,0.364238146962025,0.5689414028664421,0.5771164589499812,0.2147434916920838,-0.14628539754239855,0.364238146962025
2009-06-01,3.742584683206829,1.890627848784554,2.490717487125604,1.452238486971605,1.271713376045227,2.379055566134585,3.021819361176426,2.321250972777833,2.379055566134585,1.271713376045227,3.742584683206829,2.379055566134585,2.379055566134585,2.367438065695987,2.365237012440147,2.4298610095823694,2.4937861626408764,2.379055566134585
2009-09-01,3.475538110733467,1.901427311151593,1.731203589712866,1.339401861030658,1.270327806472778,1.199616361712049,1.756883894589013,1.8106284193432036,1.731203589712866,1.199616361712049,3.475538110733467,1.339401861030658,1.731203589712866,1.7548263231474817,1.75764164901615,1.5309012244409397,1.3650825074889852,1.353825541486712
2009-12-01,3.167288557384573,3.217547108966556,1.993597273790954,1.842064466523136,1.367560386657715,0.7212379880875008,1.413847052102781,1.9604489762161736,1.842064466523136,0.7212379880875008,3.217547108966556,1.413847052102781,2.6829217649955575,1.839634828795846,1.845655030976916,1.5394408474314738,1.1051009537444207,1.844018149617278
2010-03-01,2.35881612816069,1.499284249173272,1.736514059109343,1.23007823643363,1.349266052246094,0.5454654349280046,2.052923064693232,1.538906746392038,1.499284249173272,0.5454654349280046,2.35881612816069,1.23007823643363,1.499284249173272,1.4896578941401193,1.491909249074993,1.452213802321039,1.4112935326353209,1.491909249074993
2010-06-01,2.13295288013029,1.706900762631847,1.541194051981282,1.394707558254129,0.9454923272132874,2.115510364431538,2.172212092733864,1.7155671481966053,1.706900762631847,0.9454923272132874,2.172212092733864,1.394707558254129,1.706900762631847,1.593932925385213,1.5982820121861894,1.6464408155571595,1.6078699769205989,1.6464408155571595
2010-09-01,1.320427661583601,1.318340178448629,1.603528209631495,1.483321866907922,1.521044611930847,0.3282036034167602,0.4922194163409371,1.1524407926085989,1.320427661583601,0.3282036034167602,1.603528209631495,1.320427661583601,1.3200241137272324,1.0198795986713787,1.0304990679620976,1.1033372777791104,1.1146718642245712,1.2960291011170422
2010-12-01,1.254478733448927,1.330695181778196,1.474587316183353,1.324312157667246,1.255813598632812,1.51048755730707,1.184429652727006,1.3335434568206586,1.324312157667246,1.184429652727006,1.51048755730707,1.255813598632812,1.324312157667246,1.3142930279825835,1.315667775777165,1.305235673032849,1.3233161161634859,1.3233161161634859
2011-03-01,1.52184873926533,1.110880459357766,1.277326030059104,1.790654967281914,0.9779189825057983,1.353206962586441,2.828523711478101,1.5514799789334934,1.353206962586441,0.9779189825057983,2.828523711478101,1.277326030059104,2.1444657757776184,1.648905028791158,1.6471711256205999,1.619159872634286,1.5826311568523468,1.5814786932717178
2011-06-01,1.110760489820528,0.8402194058653834,1.215957183666948,1.091123615262941,0.9693419933319092,0.2260050604658347,1.913705543007861,1.0524447559173435,1.091123615262941,0.2260050604658347,1.913705543007861,0.9693419933319092,1.091123615262941,0.9287495779440911,0.9288214724232815,0.9211803133461053,0.9803830443844533,0.9803830443844533
2011-09-01,1.147560330181463,1.084906170475541,1.402359448400222,0.9009493607161175,0.8673362731933594,0.3910220994812353,1.144233274500302,0.9911952795640343,1.084906170475541,0.3910220994812353,1.402359448400222,0.8673362731933594,1.084906170475541,0.9528774118983117,0.9538879142868278,0.9517445139238216,0.9663950422484238,0.9662242244655421
2011-12-01,1.054719693937578,1.019071310000363,0.2997011183739282,0.9928489333214293,0.9780961871147156,-0.0321882990547879,0.04507759694718411,0.6224752200914873,0.9780961871147156,-0.0321882990547879,1.054719693937578,0.9780961871147156,0.6242531033665841,0.6819792934045749,0.6825843255140525,0.4666482395579517,0.6774707654671486,0.6498661664834705
2012-03-01,1.391900897071352,1.298805577303064,1.797159208664937,0.6817278643572581,0.6249552369117737,0.5045079514255035,0.9004434113587948,1.0285000210132405,0.9004434113587948,0.5045079514255035,1.797159208664937,0.6249552369117737,0.9004434113587948,0.9925670256239657,0.9949730801213149,0.9384502934659676,1.013222456052546,0.9384502934659676
2012-06-01,1.32151732756185,1.176439095363335,0.7595604182289897,0.5095580361210363,0.6428947448730469,0.03003369458832334,-0.02903988851460637,0.6301376326031392,0.6428947448730469,-0.02903988851460637,1.32151732756185,0.6428947448730469,0.6262446085833785,0.6840747498347386,0.6851387709100232,0.676349315174922,0.6625914823706341,0.6428947448730469
2012-09-01,1.00298291017662,1.158504512359571,0.5412003504176823,0.671068512780846,0.6361980438232422,-0.1385024334148813,0.3198069886912934,0.5987512692620535,0.6361980438232422,-0.1385024334148813,1.158504512359571,0.6361980438232422,0.6361980438232422,0.6497367276396053,0.6479595229357885,0.5935586856065512,0.5912490846058612,0.6361980438232422
